material,sending,receiving,planned_deployment_date,deployed_qty,demand_element,ori_deployment_uid
21121751,C816,D767,2026-01-23,1,net demand for safety,21121751|C816|D767|2026-01-23|net demand for safety|038241
21165946,A673,E556,2026-01-23,3,net demand for safety,21165946|A673|E556|2026-01-23|net demand for safety|038343
21165946,C816,E467,2026-01-23,3,net demand for safety,21165946|C816|E467|2026-01-23|net demand for safety|038345
21170683,A673,E556,2026-01-23,2,net demand for safety,21170683|A673|E556|2026-01-23|net demand for safety|038348
21304907,C816,D767,2026-01-23,1,net demand for safety,21304907|C816|D767|2026-01-23|net demand for safety|038369
21352461,C816,C810,2026-01-23,2,net demand for safety,21352461|C816|C810|2026-01-23|net demand for safety|038397
21377504,C816,D767,2026-01-23,1,net demand for safety,21377504|C816|D767|2026-01-23|net demand for safety|038404
80804698,A673,E556,2026-01-23,1,net demand for forecast,80804698|A673|E556|2026-01-23|net demand for forecast|038655
80804698,A673,E556,2026-01-23,1,net demand for forecast,80804698|A673|E556|2026-01-23|net demand for forecast|038656
80804698,A673,E556,2026-01-23,1,net demand for forecast,80804698|A673|E556|2026-01-23|net demand for forecast|038657
80804698,A673,E556,2026-01-23,1,net demand for forecast,80804698|A673|E556|2026-01-23|net demand for forecast|038658
80804705,A672,E568,2026-01-23,2,net demand for normal,80804705|A672|E568|2026-01-23|net demand for normal|038783
80812845,C816,E467,2026-01-23,2,net demand for forecast,80812845|C816|E467|2026-01-23|net demand for forecast|039005
80812845,C816,E467,2026-01-23,2,net demand for forecast,80812845|C816|E467|2026-01-23|net demand for forecast|039006
80812845,C816,E467,2026-01-23,2,net demand for forecast,80812845|C816|E467|2026-01-23|net demand for forecast|039007
80812845,C816,E467,2026-01-23,2,net demand for forecast,80812845|C816|E467|2026-01-23|net demand for forecast|039008
80812845,C816,E467,2026-01-23,2,net demand for forecast,80812845|C816|E467|2026-01-23|net demand for forecast|039009
80812845,C816,E467,2026-01-23,2,net demand for normal,80812845|C816|E467|2026-01-23|net demand for normal|039010
80812845,C816,E467,2026-01-23,9,net demand for safety,80812845|C816|E467|2026-01-23|net demand for safety|039011
80848024,A672,C819,2026-01-23,2,net demand for normal,80848024|A672|C819|2026-01-23|net demand for normal|039146
21098519,A673,E556,2026-01-24,11,net demand for safety,21098519|A673|E556|2026-01-24|net demand for safety|039184
21118867,C816,D767,2026-01-24,1,net demand for safety,21118867|C816|D767|2026-01-24|net demand for safety|039227
21121751,C816,D767,2026-01-24,2,net demand for safety,21121751|C816|D767|2026-01-24|net demand for safety|039235
21132988,A673,E556,2026-01-24,1,net demand for safety,21132988|A673|E556|2026-01-24|net demand for safety|039322
21165946,A673,E556,2026-01-24,1,net demand for safety,21165946|A673|E556|2026-01-24|net demand for safety|039469
21165946,C816,E467,2026-01-24,2,net demand for safety,21165946|C816|E467|2026-01-24|net demand for safety|039471
21170683,A673,E556,2026-01-24,2,net demand for safety,21170683|A673|E556|2026-01-24|net demand for safety|039474
21170683,C816,E467,2026-01-24,1,net demand for safety,21170683|C816|E467|2026-01-24|net demand for safety|039475
21179704,A673,E564,2026-01-24,1,net demand for forecast,21179704|A673|E564|2026-01-24|net demand for forecast|039477
21179704,A673,E564,2026-01-24,1,net demand for forecast,21179704|A673|E564|2026-01-24|net demand for forecast|039478
21179704,A673,E564,2026-01-24,1,net demand for forecast,21179704|A673|E564|2026-01-24|net demand for forecast|039479
21179704,A673,E564,2026-01-24,1,net demand for forecast,21179704|A673|E564|2026-01-24|net demand for forecast|039480
21179704,A673,E564,2026-01-24,1,net demand for forecast,21179704|A673|E564|2026-01-24|net demand for forecast|039481
21179704,A673,E564,2026-01-24,1,net demand for safety,21179704|A673|E564|2026-01-24|net demand for safety|039482
21314602,C816,D767,2026-01-24,3,net demand for safety,21314602|C816|D767|2026-01-24|net demand for safety|039507
21352461,C816,C810,2026-01-24,1,net demand for safety,21352461|C816|C810|2026-01-24|net demand for safety|039529
21354246,C816,D767,2026-01-24,1,net demand for safety,21354246|C816|D767|2026-01-24|net demand for safety|039535
21357275,C816,C810,2026-01-24,1,net demand for safety,21357275|C816|C810|2026-01-24|net demand for safety|039536
80804134,C816,E467,2026-01-24,1,net demand for forecast,80804134|C816|E467|2026-01-24|net demand for forecast|039620
80804134,C816,E467,2026-01-24,1,net demand for forecast,80804134|C816|E467|2026-01-24|net demand for forecast|039621
80804134,C816,E467,2026-01-24,1,net demand for forecast,80804134|C816|E467|2026-01-24|net demand for forecast|039622
80804134,C816,E467,2026-01-24,1,net demand for forecast,80804134|C816|E467|2026-01-24|net demand for forecast|039623
80804134,C816,E467,2026-01-24,1,net demand for forecast,80804134|C816|E467|2026-01-24|net demand for forecast|039624
80804134,C816,E467,2026-01-24,1,net demand for normal,80804134|C816|E467|2026-01-24|net demand for normal|039625
80804134,C816,E467,2026-01-24,1,net demand for safety,80804134|C816|E467|2026-01-24|net demand for safety|039626
80804705,A672,E568,2026-01-24,1,net demand for normal,80804705|A672|E568|2026-01-24|net demand for normal|039748
80804705,C816,E467,2026-01-24,1,net demand for forecast,80804705|C816|E467|2026-01-24|net demand for forecast|039776
80804705,C816,E467,2026-01-24,1,net demand for forecast,80804705|C816|E467|2026-01-24|net demand for forecast|039777
80804705,C816,E467,2026-01-24,1,net demand for forecast,80804705|C816|E467|2026-01-24|net demand for forecast|039778
80804705,C816,E467,2026-01-24,1,net demand for forecast,80804705|C816|E467|2026-01-24|net demand for forecast|039779
80804705,C816,E467,2026-01-24,6,net demand for safety,80804705|C816|E467|2026-01-24|net demand for safety|039780
80805856,A672,E568,2026-01-24,1,net demand for normal,80805856|A672|E568|2026-01-24|net demand for normal|039786
80807116,A672,E568,2026-01-24,1,net demand for forecast,80807116|A672|E568|2026-01-24|net demand for forecast|039955
80807116,A672,E568,2026-01-24,1,net demand for forecast,80807116|A672|E568|2026-01-24|net demand for forecast|039956
80807116,A672,E568,2026-01-24,1,net demand for forecast,80807116|A672|E568|2026-01-24|net demand for forecast|039957
