transit_uid,date,material,sending,receiving,actual_ship_date,actual_delivery_date,quantity,ori_deployment_uid,vehicle_uid
80793615|0386|A716|2026-01-08|net demand for forecast|018277_transit_20260108-0386-A716-Train-#1,2026-01-21,80793615,0386,A716,2026-01-08,2026-01-22,1,80793615|0386|A716|2026-01-08|net demand for forecast|018277,20260108-0386-A716-Train-#1
80793615|0386|A716|2026-01-08|net demand for forecast|018278_transit_20260108-0386-A716-Train-#1,2026-01-21,80793615,0386,A716,2026-01-08,2026-01-22,1,80793615|0386|A716|2026-01-08|net demand for forecast|018278,20260108-0386-A716-Train-#1
80793615|0386|A716|2026-01-08|net demand for forecast|018279_transit_20260108-0386-A716-Train-#1,2026-01-21,80793615,0386,A716,2026-01-08,2026-01-23,1,80793615|0386|A716|2026-01-08|net demand for forecast|018279,20260108-0386-A716-Train-#1
80793615|0386|A716|2026-01-08|net demand for forecast|018280_transit_20260108-0386-A716-Train-#1,2026-01-21,80793615,0386,A716,2026-01-08,2026-01-22,1,80793615|0386|A716|2026-01-08|net demand for forecast|018280,20260108-0386-A716-Train-#1
80793615|0386|A716|2026-01-08|net demand for forecast|018281_transit_20260108-0386-A716-Train-#1,2026-01-21,80793615,0386,A716,2026-01-08,2026-01-22,1,80793615|0386|A716|2026-01-08|net demand for forecast|018281,20260108-0386-A716-Train-#1
80793615|0386|A716|2026-01-08|net demand for forecast|018282_transit_20260108-0386-A716-Train-#1,2026-01-21,80793615,0386,A716,2026-01-08,2026-01-23,1,80793615|0386|A716|2026-01-08|net demand for forecast|018282,20260108-0386-A716-Train-#1
80793615|0386|A716|2026-01-08|net demand for forecast|018283_transit_20260108-0386-A716-Train-#1,2026-01-21,80793615,0386,A716,2026-01-08,2026-01-22,1,80793615|0386|A716|2026-01-08|net demand for forecast|018283,20260108-0386-A716-Train-#1
80793615|0386|A716|2026-01-08|net demand for forecast|018284_transit_20260108-0386-A716-Train-#1,2026-01-21,80793615,0386,A716,2026-01-08,2026-01-22,1,80793615|0386|A716|2026-01-08|net demand for forecast|018284,20260108-0386-A716-Train-#1
80793615|0386|A716|2026-01-08|net demand for forecast|018285_transit_20260108-0386-A716-Train-#1,2026-01-21,80793615,0386,A716,2026-01-08,2026-01-22,1,80793615|0386|A716|2026-01-08|net demand for forecast|018285,20260108-0386-A716-Train-#1
80793615|0386|A716|2026-01-08|net demand for forecast|018286_transit_20260108-0386-A716-Train-#1,2026-01-21,80793615,0386,A716,2026-01-08,2026-01-22,1,80793615|0386|A716|2026-01-08|net demand for forecast|018286,20260108-0386-A716-Train-#1
80793615|0386|A716|2026-01-08|net demand for forecast|018287_transit_20260108-0386-A716-Train-#1,2026-01-21,80793615,0386,A716,2026-01-08,2026-01-22,1,80793615|0386|A716|2026-01-08|net demand for forecast|018287,20260108-0386-A716-Train-#1
80793615|0386|A716|2026-01-08|net demand for forecast|018288_transit_20260108-0386-A716-Train-#1,2026-01-21,80793615,0386,A716,2026-01-08,2026-01-23,1,80793615|0386|A716|2026-01-08|net demand for forecast|018288,20260108-0386-A716-Train-#1
80793615|0386|A716|2026-01-08|net demand for forecast|018289_transit_20260108-0386-A716-Train-#1,2026-01-21,80793615,0386,A716,2026-01-08,2026-01-22,2,80793615|0386|A716|2026-01-08|net demand for forecast|018289,20260108-0386-A716-Train-#1
80793615|0386|A716|2026-01-08|net demand for forecast|018290_transit_20260108-0386-A716-Train-#1,2026-01-21,80793615,0386,A716,2026-01-08,2026-01-22,2,80793615|0386|A716|2026-01-08|net demand for forecast|018290,20260108-0386-A716-Train-#1
80793615|0386|A716|2026-01-08|net demand for forecast|018291_transit_20260108-0386-A716-Train-#1,2026-01-21,80793615,0386,A716,2026-01-08,2026-01-22,2,80793615|0386|A716|2026-01-08|net demand for forecast|018291,20260108-0386-A716-Train-#1
80793615|0386|A716|2026-01-08|net demand for forecast|018292_transit_20260108-0386-A716-Train-#1,2026-01-21,80793615,0386,A716,2026-01-08,2026-01-22,2,80793615|0386|A716|2026-01-08|net demand for forecast|018292,20260108-0386-A716-Train-#1
80793615|0386|A716|2026-01-08|net demand for forecast|018293_transit_20260108-0386-A716-Train-#1,2026-01-21,80793615,0386,A716,2026-01-08,2026-01-22,2,80793615|0386|A716|2026-01-08|net demand for forecast|018293,20260108-0386-A716-Train-#1
80796091|0386|A716|2026-01-08|net demand for forecast|018404_transit_20260108-0386-A716-Train-#1,2026-01-21,80796091,0386,A716,2026-01-08,2026-01-22,1,80796091|0386|A716|2026-01-08|net demand for forecast|018404,20260108-0386-A716-Train-#1
80796091|0386|A716|2026-01-08|net demand for forecast|018405_transit_20260108-0386-A716-Train-#1,2026-01-21,80796091,0386,A716,2026-01-08,2026-01-22,1,80796091|0386|A716|2026-01-08|net demand for forecast|018405,20260108-0386-A716-Train-#1
80796091|0386|A716|2026-01-08|net demand for forecast|018406_transit_20260108-0386-A716-Train-#1,2026-01-21,80796091,0386,A716,2026-01-08,2026-01-22,1,80796091|0386|A716|2026-01-08|net demand for forecast|018406,20260108-0386-A716-Train-#1
80796091|0386|A716|2026-01-08|net demand for forecast|018407_transit_20260108-0386-A716-Train-#1,2026-01-21,80796091,0386,A716,2026-01-08,2026-01-22,1,80796091|0386|A716|2026-01-08|net demand for forecast|018407,20260108-0386-A716-Train-#1
80796091|0386|A716|2026-01-08|net demand for forecast|018408_transit_20260108-0386-A716-Train-#1,2026-01-21,80796091,0386,A716,2026-01-08,2026-01-22,1,80796091|0386|A716|2026-01-08|net demand for forecast|018408,20260108-0386-A716-Train-#1
