[2026-02-07 00:05:23] ============================================================
[2026-02-07 00:05:23] Auto-monitor started
[2026-02-07 00:05:23] Checking every 60s for completion of both runs
[2026-02-07 00:05:23] ============================================================
[2026-02-07 04:07:09]     [OK] module5/DeploymentPlan: 76/76 matched (0 dev-missing, 0 db-missing)
[2026-02-07 04:07:09]     [DIFF] module6/DeliveryPlan: 69/76 matched (0 dev-missing, 0 db-missing)
[2026-02-07 04:07:09]     [OK] module6/VehicleLog: 76/76 matched (0 dev-missing, 0 db-missing)
[2026-02-07 04:07:09]   TOTAL DB vs Dev: 677/684 checks passed
[2026-02-07 04:07:09] 
[2026-02-07 04:07:09]   File vs Dev:
[2026-02-07 04:07:09]     [OK] module1/OrderLog: 76/76 matched (0 dev-missing, 0 ref-missing)
[2026-02-07 04:07:09]     [OK] module1/ShipmentLog: 76/76 matched (0 dev-missing, 0 ref-missing)
[2026-02-07 04:07:09]     [OK] module1/CutLog: 76/76 matched (0 dev-missing, 0 ref-missing)
[2026-02-07 04:07:09]     [OK] module3/NetDemand: 76/76 matched (0 dev-missing, 0 ref-missing)
[2026-02-07 04:07:09]     [OK] module4/ProductionPlan: 76/76 matched (0 dev-missing, 0 ref-missing)
[2026-02-07 04:07:09]     [OK] module4/CapacityExceed: 76/76 matched (0 dev-missing, 0 ref-missing)
[2026-02-07 04:07:09]     [OK] module5/DeploymentPlan: 76/76 matched (0 dev-missing, 0 ref-missing)
[2026-02-07 04:07:09]     [OK] module6/DeliveryPlan: 76/76 matched (0 dev-missing, 0 ref-missing)
[2026-02-07 04:07:09]     [OK] module6/VehicleLog: 76/76 matched (0 dev-missing, 0 ref-missing)
[2026-02-07 04:07:09]   TOTAL File vs Dev: 684/684 checks passed
[2026-02-07 04:07:09] 
[2026-02-07 04:07:09] ================================================================================
[2026-02-07 04:07:09] RESULT: DIFFERENCES FOUND
[2026-02-07 04:07:09] ================================================================================
[2026-02-07 04:07:09] DIFFERENCES FOUND - check comparison_results.txt
[2026-02-07 04:07:09] Monitor finished
